"scientificName","introduction_status","reportingStatus","infrataxon_status","provincial_concern","provenance_status","solow_EP","phylum","iNaturalistTaxonId","iNaturalistTaxonName","kingdom","subphylum","class","subclass","superorder","order","infraorder","superfamily","family","subfamily","tribe","genus","species","subspecies","variety","nameStatus","inSummary"
Lupinus bicolor,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,50614,Lupinus bicolor,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Genisteae,Lupinus,bicolor,,,accepted,1
Lupinus polycarpus,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,50614,Lupinus bicolor,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Genisteae,Lupinus,bicolor,,,unaccepted,1
