scientificName,introduction_status,reportingStatus,infrataxon_status,provincial_concern,provenance_status,solow_EP,phylum,iNaturalistTaxonId,iNaturalistTaxonName,kingdom,subphylum,class,subclass,superorder,order,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety,nameStatus
Calystegia sepium ssp. sepium,exotic,confirmed,infrataxon,unknown,unknown,,Tracheophyta,118539,Calystegia sepium sepium,Plantae,Angiospermae,Magnoliopsida,,,Solanales,,,Convolvulaceae,Convolvuloideae,Convolvuleae,Calystegia,sepium,Calystegia sepium sepium,,accepted
Calystegia silvatica ssp. silvatica,exotic,new 2017,infrataxon,unknown,unknown,,Tracheophyta,234778,Calystegia silvatica silvatica,Plantae,Angiospermae,Magnoliopsida,,,Solanales,,,Convolvulaceae,Convolvuloideae,Convolvuleae,Calystegia,silvatica,Calystegia silvatica silvatica,,accepted
Camassia leichtlinii ssp. suksdorfii,native,confirmed,infrataxon,secure,voucher,0,Tracheophyta,79659,Camassia leichtlinii suksdorfii,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Asparagaceae,Agavoideae,,Camassia,leichtlinii,Camassia leichtlinii suksdorfii,,accepted
Camassia quamash ssp. quamash,native,confirmed,infrataxon,secure,unknown,,Tracheophyta,118435,Camassia quamash quamash,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Asparagaceae,Agavoideae,,Camassia,quamash,Camassia quamash quamash,,accepted
Campanula persicifolia,exotic,new 2016,non-infrataxon,unknown,no_voucher,0,Tracheophyta,159764,Campanula persicifolia,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Campanulaceae,Campanuloideae,,Campanula,persicifolia,,,accepted
Campanula rotundifolia,native,reported,non-infrataxon,secure,unknown,,Tracheophyta,62312,Campanula rotundifolia,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Campanulaceae,Campanuloideae,,Campanula,rotundifolia,,,accepted
Campanula scouleri,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,75991,Campanula scouleri,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Campanulaceae,Campanuloideae,,Campanula,scouleri,,,accepted
Capsella bursa-pastoris,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,56121,Capsella bursa-pastoris,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Camelineae,Capsella,bursa-pastoris,,,accepted
Cardamine flexuosa,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,69636,Cardamine flexuosa,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Cardamineae,Cardamine,flexuosa,,,accepted
Cardamine hirsuta,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,55829,Cardamine hirsuta,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Cardamineae,Cardamine,hirsuta,,,accepted
Cardamine nuttallii,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,76002,Cardamine nuttallii,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Cardamineae,Cardamine,nuttallii,,,accepted
Cardamine occidentalis,native,reported,non-infrataxon,secure,unknown,,Tracheophyta,76003,Cardamine occidentalis,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Cardamineae,Cardamine,occidentalis,,,accepted
Cardamine oligosperma,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,52981,Cardamine oligosperma,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Cardamineae,Cardamine,oligosperma,,,accepted
Cardamine pensylvanica,native,confirmed,non-infrataxon,secure,voucher,0.008,Tracheophyta,76005,Cardamine pensylvanica,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Cardamineae,Cardamine,pensylvanica,,,accepted
Carex aquatilis var. dives,native,confirmed,infrataxon,secure,voucher,0,Tracheophyta,80511,Carex aquatilis dives,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,aquatilis,,Carex aquatilis dives,accepted
Carex arcta,native,confirmed,non-infrataxon,secure,no_voucher,0.031,Tracheophyta,76014,Carex arcta,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,arcta,,,accepted
Carex aurea,native,confirmed,non-infrataxon,secure,voucher,0.008,Tracheophyta,76017,Carex aurea,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,aurea,,,accepted
Carex canescens ssp. canescens,native,confirmed,infrataxon,secure,unknown,,Tracheophyta,79673,Carex canescens canescens,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,canescens,Carex canescens canescens,,accepted
Carex cusickii,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,76028,Carex cusickii,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,cusickii,,,accepted
Carex echinata ssp. echinata,native,confirmed,infrataxon,secure,unknown,,Tracheophyta,79675,Carex echinata echinata,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,echinata,Carex echinata echinata,,accepted
Carex echinata ssp. phyllomanica,native,reported,infrataxon,secure,unknown,,Tracheophyta,79676,Carex echinata phyllomanica,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,echinata,Carex echinata phyllomanica,,accepted
Carex exsiccata,native,confirmed,non-infrataxon,secure,voucher,0.008,Tracheophyta,76036,Carex exsiccata,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,exsiccata,,,accepted
Carex flava,native,reported,non-infrataxon,secure,unknown,,Tracheophyta,85484,Carex flava,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,flava,,,accepted
Carex garberi,native,new 2022,non-infrataxon,secure,voucher,0.032,Tracheophyta,159956,Carex garberi,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,garberi,,,accepted
Carex hendersonii,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,76048,Carex hendersonii,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,hendersonii,,,accepted
Carex inops ssp. inops,native,confirmed,infrataxon,secure,unknown,,Tracheophyta,79677,Carex inops inops,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,inops,Carex inops inops,,accepted
Carex kelloggii var. limnophila,native,reported,infrataxon,secure,voucher,0.008,Tracheophyta,1091402,Carex kelloggii limnophila,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,kelloggii,,Carex kelloggii limnophila,accepted
Carex laeviculmis,native,new 2017,non-infrataxon,secure,no_voucher,0.025,Tracheophyta,76062,Carex laeviculmis,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,laeviculmis,,,accepted
Carex lasiocarpa,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,76063,Carex lasiocarpa,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,lasiocarpa,,,accepted
Carex leporina,native,confirmed,non-infrataxon,secure,voucher,0.031,Tracheophyta,76067,Carex leporina,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,leporina,,,accepted
Carex leptalea,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,76069,Carex leptalea,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,leptalea,,,accepted
Carex leptopoda,native,new 2016,non-infrataxon,secure,no_voucher,0.016,Tracheophyta,76070,Carex leptopoda,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,leptopoda,,,accepted
Carex livida,native,reported,non-infrataxon,secure,no_voucher,0.023,Tracheophyta,76072,Carex livida,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,livida,,,accepted
Carex lyngbyei,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,76076,Carex lyngbyei,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,lyngbyei,,,accepted
Carex macrocephala,native,new 2013,non-infrataxon,secure,no_voucher,0,Tracheophyta,160006,Carex macrocephala,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,macrocephala,,,accepted
Carex obnupta,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,61000,Carex obnupta,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,obnupta,,,accepted
Carex pachystachya,native,confirmed,non-infrataxon,secure,voucher,0.032,Tracheophyta,76089,Carex pachystachya,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,pachystachya,,,accepted
Carex pallescens,exotic,new 2018,non-infrataxon,unknown,unknown,,Tracheophyta,160055,Carex pallescens,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,pallescens,,,accepted
Carex pellita,native,new 2017,non-infrataxon,secure,unknown,,Tracheophyta,76091,Carex pellita,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,pellita,,,accepted
Carex scoparia,native,new 2022,non-infrataxon,secure,no_voucher,0.008,Tracheophyta,76104,Carex scoparia,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,scoparia,,,accepted
Carex sylvatica,exotic,new 2022,non-infrataxon,unknown,unknown,,Tracheophyta,69640,Carex sylvatica,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,sylvatica,,,accepted
Carex utriculata,native,reported,non-infrataxon,secure,unknown,,Tracheophyta,76124,Carex utriculata,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,utriculata,,,accepted
Carex viridula ssp. viridula,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta,1409520,Carex oederi oederi,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,oederi,,Carex oederi oederi,unaccepted
Castilleja attenuata,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,49341,Castilleja attenuata,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,Pedicularideae,Castilleja,attenuata,,,accepted
Castilleja hispida,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,128204,Castilleja hispida,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,Pedicularideae,Castilleja,hispida,,,accepted
Castilleja miniata var. dixonii,native,new 2022,infrataxon,concern,unknown,,Tracheophyta,234941,Castilleja miniata dixonii,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,Pedicularideae,Castilleja,miniata,,Castilleja miniata dixonii,accepted
Ceanothus sanguineus,native,reported,non-infrataxon,secure,no_voucher,0.032,Tracheophyta,76197,Ceanothus sanguineus,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rhamnaceae,,,Ceanothus,sanguineus,,,accepted
Centaurea cyanus,exotic,new 2016,non-infrataxon,unknown,no_voucher,0,Tracheophyta,933404,Centaurea cyanus,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Carduoideae,Cardueae,Centaurea,cyanus,,,accepted
Centaurea melitensis,exotic,new 2023,non-infrataxon,unknown,unknown,,Tracheophyta,57922,Centaurea melitensis,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Carduoideae,Cardueae,Centaurea,melitensis,,,accepted
Centaurium erythraea,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta,56236,Centaurium erythraea,Plantae,Angiospermae,Magnoliopsida,,,Gentianales,,,Gentianaceae,,Chironieae,Centaurium,erythraea,,,accepted
Centranthus ruber,exotic,new 2019,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta,57283,Centranthus ruber,Plantae,Angiospermae,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Valerianoideae,,Centranthus,ruber,,,accepted
Cerastium arvense ssp. strictum,native,confirmed,infrataxon,secure,voucher,0,Tracheophyta,50847,Cerastium arvense strictum,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,Alsineae,Cerastium,arvense,Cerastium arvense strictum,,accepted
Cerastium fontanum,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta,53307,Cerastium fontanum,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,Alsineae,Cerastium,fontanum,,,accepted
Cerastium glomeratum,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,52973,Cerastium glomeratum,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,Alsineae,Cerastium,glomeratum,,,accepted
Cerastium pumilum,exotic,new 2017,non-infrataxon,unknown,unknown,,Tracheophyta,160341,Cerastium pumilum,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,Alsineae,Cerastium,pumilum,,,accepted
Cerastium tomentosum,exotic,new 2019,non-infrataxon,unknown,no_voucher,0,Tracheophyta,160347,Cerastium tomentosum,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,Alsineae,Cerastium,tomentosum,,,accepted
Ceratophyllum echinatum,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,160354,Ceratophyllum echinatum,Plantae,Angiospermae,Magnoliopsida,,,Ceratophyllales,,,Ceratophyllaceae,,,Ceratophyllum,echinatum,,,accepted
Chamaenerion angustifolium,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,564969,Chamaenerion angustifolium,Plantae,Angiospermae,Magnoliopsida,,,Myrtales,,,Onagraceae,,,Chamaenerion,angustifolium,,,accepted
Chenopodium album,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,58127,Chenopodium album,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Amaranthaceae,Chenopodioideae,Chenopodieae,Chenopodium,album,,,accepted
Chimaphila umbellata ssp. umbellata,native,confirmed,infrataxon,secure,unknown,,Tracheophyta,316609,Chimaphila umbellata umbellata,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Ericaceae,Pyroloideae,,Chimaphila,umbellata,Chimaphila umbellata umbellata,,accepted
Cichorium intybus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,52913,Cichorium intybus,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Cichorium,intybus,,,accepted
Cicuta douglasii,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,76338,Cicuta douglasii,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Oenantheae,Cicuta,douglasii,,,accepted
Cinna latifolia,native,reported,non-infrataxon,secure,voucher,0.032,Tracheophyta,76340,Cinna latifolia,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Cinna,latifolia,,,accepted
Circaea alpina ssp. alpina,native,confirmed,infrataxon,secure,voucher,0.031,Tracheophyta,235259,Circaea alpina alpina,Plantae,Angiospermae,Magnoliopsida,,,Myrtales,,,Onagraceae,,,Circaea,alpina,Circaea alpina alpina,,accepted
Circaea alpina ssp. pacifica,native,confirmed,infrataxon,secure,voucher,0.031,Tracheophyta,79729,Circaea alpina pacifica,Plantae,Angiospermae,Magnoliopsida,,,Myrtales,,,Onagraceae,,,Circaea,alpina,Circaea alpina pacifica,,accepted
Cirsium arvense,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta,60132,Cirsium arvense,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Carduoideae,Cardueae,Cirsium,arvense,,,accepted
Cirsium brevistylum,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,52993,Cirsium brevistylum,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Carduoideae,Cardueae,Cirsium,brevistylum,,,accepted
Cirsium vulgare,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,52989,Cirsium vulgare,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Carduoideae,Cardueae,Cirsium,vulgare,,,accepted
Clarkia amoena ssp. caurina,native,confirmed,infrataxon,concern,unknown,,Tracheophyta,235283,Clarkia amoena caurina,Plantae,Angiospermae,Magnoliopsida,,,Myrtales,,,Onagraceae,,,Clarkia,amoena,Clarkia amoena caurina,,accepted
Clarkia amoena ssp. lindleyi,native,new 2017,infrataxon,concern,unknown,,Tracheophyta,235285,Clarkia amoena lindleyi,Plantae,Angiospermae,Magnoliopsida,,,Myrtales,,,Onagraceae,,,Clarkia,amoena,Clarkia amoena lindleyi,,accepted
Claytonia exigua ssp. exigua,native,new 2016,infrataxon,secure,voucher,0.031,Tracheophyta,57234,Claytonia exigua exigua,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,,Claytonia,exigua,Claytonia exigua exigua,,accepted
Claytonia exigua ssp. glauca,native,new 2013,infrataxon,secure,no_voucher,0.031,Tracheophyta,57229,Claytonia exigua glauca,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,,Claytonia,exigua,Claytonia exigua glauca,,accepted
Claytonia parviflora,native,confirmed,non-infrataxon,secure,no_voucher,0.031,Tracheophyta,58294,Claytonia parviflora,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,,Claytonia,parviflora,,,accepted
Claytonia perfoliata,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,52994,Claytonia perfoliata,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,,Claytonia,perfoliata,,,accepted
Claytonia rubra ssp. depressa,native,new 2017,infrataxon,secure,unknown,,Tracheophyta,79751,Claytonia rubra depressa,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,,Claytonia,rubra,Claytonia rubra depressa,,accepted
Claytonia sibirica,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,55767,Claytonia sibirica,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,,Claytonia,sibirica,,,accepted
Clematis vitalba,exotic,new 2019,non-infrataxon,unknown,voucher,0,Tracheophyta,160697,Clematis vitalba,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,Anemoneae,Clematis,vitalba,,,accepted
Clinopodium douglasii,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,53203,Clinopodium douglasii,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,Mentheae,Clinopodium,douglasii,,,accepted
Collinsia grandiflora,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,76409,Collinsia grandiflora,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,Cheloneae,Collinsia,grandiflora,,,accepted
Collinsia parviflora,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,59013,Collinsia parviflora,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,Cheloneae,Collinsia,parviflora,,,accepted
Collomia heterophylla,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,52996,Collomia heterophylla,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Polemoniaceae,,,Collomia,heterophylla,,,accepted
Comarum palustre,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,62213,Comarum palustre,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,Potentilleae,Comarum,palustre,,,accepted
Conioselinum gmelinii,native,new 2016,non-infrataxon,secure,no_voucher,0,Tracheophyta,160830,Conioselinum gmelinii,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,,Conioselinum,gmelinii,,,accepted
Conium maculatum,exotic,new 2019,non-infrataxon,unknown,unknown,,Tracheophyta,52998,Conium maculatum,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Smyrnieae,Conium,maculatum,,,accepted
Convolvulus arvensis,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta,53021,Convolvulus arvensis,Plantae,Angiospermae,Magnoliopsida,,,Solanales,,,Convolvulaceae,Convolvuloideae,Convolvuleae,Convolvulus,arvensis,,,accepted
Corallorhiza maculata var. maculata,native,new 2022,infrataxon,concern,unknown,,Tracheophyta,80614,Corallorhiza maculata maculata,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Epidendreae,Corallorhiza,maculata,,Corallorhiza maculata maculata,accepted
Corallorhiza maculata var. occidentalis,native,confirmed,infrataxon,secure,unknown,,Tracheophyta,80615,Corallorhiza maculata occidentalis,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Epidendreae,Corallorhiza,maculata,,Corallorhiza maculata occidentalis,accepted
Corallorhiza maculata var. ozettensis,native,new 2015,infrataxon,concern,unknown,,Tracheophyta,452199,Corallorhiza maculata ozettensis,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Epidendreae,Corallorhiza,maculata,,Corallorhiza maculata ozettensis,accepted
Corallorhiza mertensiana,native,new 2022,non-infrataxon,secure,voucher,0,Tracheophyta,49444,Corallorhiza mertensiana,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Epidendreae,Corallorhiza,mertensiana,,,accepted
Corallorhiza striata var. striata,native,confirmed,infrataxon,secure,unknown,,Tracheophyta,131215,Corallorhiza striata striata,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Epidendreae,Corallorhiza,striata,,Corallorhiza striata striata,accepted
Cornus nuttallii,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,76447,Cornus nuttallii,Plantae,Angiospermae,Magnoliopsida,,,Cornales,,,Cornaceae,,,Cornus,nuttallii,,,accepted
Cornus sericea ssp. occidentalis,native,confirmed,infrataxon,secure,unknown,,Tracheophyta,53366,Cornus sericea occidentalis,Plantae,Angiospermae,Magnoliopsida,,,Cornales,,,Cornaceae,,,Cornus,sericea,Cornus sericea occidentalis,,accepted
Corylus cornuta ssp. californica,native,new 2016,infrataxon,secure,no_voucher,0,Tracheophyta,53368,Corylus cornuta californica,Plantae,Angiospermae,Magnoliopsida,,,Fagales,,,Betulaceae,,,Corylus,cornuta,Corylus cornuta californica,,accepted
Cotoneaster coriaceus,exotic,new 2022,non-infrataxon,unknown,voucher,0.027,Tracheophyta,411074,Cotoneaster coriaceus,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,coriaceus,,,accepted
Cotoneaster franchetii,exotic,new 2022,non-infrataxon,unknown,voucher,0.009,Tracheophyta,1319212,Cotoneaster franchetii,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,franchetii,,,accepted
Cotoneaster horizontalis,exotic,new 2018,non-infrataxon,unknown,voucher,0,Tracheophyta,53771,Cotoneaster horizontalis,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,horizontalis,,,accepted
Cotoneaster simonsii,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta,76461,Cotoneaster simonsii,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,simonsii,,,accepted
Crassula connata,native,reported,non-infrataxon,concern,unknown,,Tracheophyta,57016,Crassula connata,Plantae,Angiospermae,Magnoliopsida,,,Saxifragales,,,Crassulaceae,Crassuloideae,,Crassula,connata,,,accepted
Crataegus douglasii,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,76469,Crataegus douglasii,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Crataegus,douglasii,,,accepted
Crataegus monogyna,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta,51147,Crataegus monogyna,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Crataegus,monogyna,,,accepted
Crepis capillaris,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta,54050,Crepis capillaris,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Crepis,capillaris,,,accepted
Crocidium multicaule,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,57524,Crocidium multicaule,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Senecioneae,Crocidium,multicaule,,,accepted
Cuscuta pacifica var. pacifica,native,new 2016,infrataxon,secure,unknown,,Tracheophyta,80645,Cuscuta pacifica pacifica,Plantae,Angiospermae,Magnoliopsida,,,Solanales,,,Convolvulaceae,,Cuscuteae,Cuscuta,pacifica,,Cuscuta pacifica pacifica,accepted
Cyclamen hederifolium,exotic,new 2017,non-infrataxon,unknown,no_voucher,0,Tracheophyta,127355,Cyclamen hederifolium,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Primulaceae,Myrsinoideae,,Cyclamen,hederifolium,,,accepted
Cymbalaria muralis,exotic,new 2019,non-infrataxon,unknown,no_voucher,0,Tracheophyta,55727,Cymbalaria muralis,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,Antirrhineae,Cymbalaria,muralis,,,accepted
Cynosurus cristatus,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta,76581,Cynosurus cristatus,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Cynosurus,cristatus,,,accepted
Cynosurus echinatus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,47695,Cynosurus echinatus,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Cynosurus,echinatus,,,accepted
Cystopteris fragilis,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,58755,Cystopteris fragilis,Plantae,,Polypodiopsida,Polypodiidae,,Polypodiales,,,Cystopteridaceae,,,Cystopteris,fragilis,,,accepted
Cytisus scoparius,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,48538,Cytisus scoparius,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Genisteae,Cytisus,scoparius,,,accepted
Dactylis glomerata,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,52720,Dactylis glomerata,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Dactylis,glomerata,,,accepted
