"scientificName","introduction_status","reportingStatus","infrataxon_status","provincial_concern","provenance_status","solow_EP","phylum"
Abies grandis,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Acer glabrum var. douglasii,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Acer macrophyllum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Achillea millefolium complex,unknown,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Achlys triphylla,native,confirmed,non-infrataxon,secure,no_voucher,0.008,Tracheophyta
Acmispon americanus var. americanus,native,reported,infrataxon,secure,unknown,,Tracheophyta
Acmispon denticulatus,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Acmispon parviflorus,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Actaea rubra,native,reported,non-infrataxon,secure,no_voucher,0,Tracheophyta
Adenocaulon bicolor,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Adiantum aleuticum var. aleuticum,native,new 2017,infrataxon,secure,no_voucher,0,Tracheophyta
Aegopodium podagraria,exotic,new 2023,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Aesculus hippocastanum,exotic,new 2016,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Agoseris grandiflora var. leptophylla,native,confirmed,infrataxon,secure,no_voucher,0.008,Tracheophyta
Agoseris heterophylla ssp. heterophylla,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Agrostis capillaris,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Agrostis exarata,native,confirmed,non-infrataxon,secure,voucher,0.008,Tracheophyta
Agrostis gigantea,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Agrostis pallens,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Agrostis scabra,native,reported,non-infrataxon,secure,voucher,0,Tracheophyta
Agrostis stolonifera,exotic,new 2021,non-infrataxon,unknown,no_voucher,0.039,Tracheophyta
Aira caryophyllea,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Aira praecox,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Ajuga reptans,exotic,new 2013,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Alcea rosea,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Alchemilla arvensis,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Alchemilla occidentalis,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Allium acuminatum,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Allium amplectens,native,confirmed,non-infrataxon,concern,no_voucher,0.008,Tracheophyta
Allium cernuum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Allium vineale,exotic,new 2019,non-infrataxon,unknown,unknown,,Tracheophyta
Allotropa virgata,native,confirmed,non-infrataxon,secure,voucher,0.018,Tracheophyta
Alnus rubra,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Alopecurus geniculatus,exotic,confirmed,non-infrataxon,unknown,voucher,0.228,Tracheophyta
Alopecurus pratensis,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Amaranthus powellii,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Amaranthus retroflexus,exotic,new 2018,non-infrataxon,unknown,no_voucher,0.031,Tracheophyta
Ambrosia chamissonis,native,new 2016,non-infrataxon,secure,no_voucher,0.039,Tracheophyta
Amelanchier alnifolia,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Amsinckia menziesii,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Anaphalis margaritacea,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Andromeda polifolia var. polifolia,native,reported,infrataxon,secure,no_voucher,0.031,Tracheophyta
