"id","parentId","iNaturalistTaxonName","commonName","rank","iNaturalistTaxonImage","scientificName","introduction_status","reportingStatus","infrataxon_status","provincial_concern","provenance_status","solow_EP","species","subspecies","variety","nameStatus","inSummary"
48460,,Life,"life",stateofmatter,https://inaturalist-open-data.s3.amazonaws.com/photos/347064198/medium.jpeg,,,,,,,0,,,,,
47126,48460,Plantae,"Plants",kingdom,https://static.inaturalist.org/photos/221143410/medium.jpeg,,,,,,,0,,,,,
211194,47126,Tracheophyta,"Vascular Plants",phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/301768574/medium.jpg,,,,,,,0,,,,,
47125,211194,Angiospermae,"Flowering Plants",subphylum,https://inaturalist-open-data.s3.amazonaws.com/photos/6943609/medium.jpg,,,,,,,0,,,,,
47623,211194,Lycopodiopsida,"Lycophytes",class,https://static.inaturalist.org/photos/18290374/medium.jpg,,,,,,,0,,,,,
121943,211194,Polypodiopsida,"Ferns",class,https://inaturalist-open-data.s3.amazonaws.com/photos/383134769/medium.jpg,,,,,,,0,,,,,
136329,211194,Pinopsida,"conifers",class,https://inaturalist-open-data.s3.amazonaws.com/photos/8663621/medium.jpg,,,,,,,0,,,,,
47124,47125,Magnoliopsida,"Dicots",class,https://inaturalist-open-data.s3.amazonaws.com/photos/66183364/medium.jpeg,,,,,,,0,,,,,
47163,47125,Liliopsida,"Monocots",class,https://inaturalist-open-data.s3.amazonaws.com/photos/274224/medium.jpg,,,,,,,0,,,,,
47375,136329,Pinales,"conifers",order,https://inaturalist-open-data.s3.amazonaws.com/photos/170033792/medium.jpg,,,,,,,0,,,,,
47622,47623,Lycopodiales,"clubmosses and firmosses",order,https://inaturalist-open-data.s3.amazonaws.com/photos/250128745/medium.jpg,,,,,,,0,,,,,
58769,47623,Selaginellales,"Spikemosses",order,https://inaturalist-open-data.s3.amazonaws.com/photos/1910623/medium.jpg,,,,,,,0,,,,,
47123,47124,Fabales,"Legumes, Milkworts, and Allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/73034071/medium.jpg,,,,,,,0,,,,,
47132,47124,Rosales,"Roses, Elms, Figs, and Allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/11763754/medium.jpg,,,,,,,0,,,,,
47162,47163,Poales,"Grasses, Sedges, Cattails, and Allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/54589881/medium.jpg,,,,,,,0,,,,,
47181,47124,Ericales,"Heathers, Balsams, Primroses, and Allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/121441132/medium.jpeg,,,,,,,0,,,,,
47195,47124,Cornales,"dogwoods, hydrangeas, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/79182087/medium.jpg,,,,,,,0,,,,,
47218,47163,Asparagales,"Agaves, Orchids, Irises, and Allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/272455964/medium.jpg,,,,,,,0,,,,,
47329,47163,Liliales,"lilies, supplejacks, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/274224/medium.jpg,,,,,,,0,,,,,
47363,47124,Gentianales,"Gentians, Dogbanes, Madders, and Allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/6232/medium.jpg,,,,,,,0,,,,,
47366,47124,Caryophyllales,"pinks, cactuses, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/74999656/medium.jpg,,,,,,,0,,,,,
47374,47375,Cupressaceae,"cypress family",family,https://inaturalist-open-data.s3.amazonaws.com/photos/164349061/medium.jpg,,,,,,,0,,,,,
47540,47124,Celastrales,"staff-vines and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/31231998/medium.jpg,,,,,,,0,,,,,
47556,47375,Taxaceae,"yew family",family,https://inaturalist-open-data.s3.amazonaws.com/photos/12117252/medium.jpeg,,,,,,,0,,,,,
47562,47375,Pinaceae,"pine family",family,https://inaturalist-open-data.s3.amazonaws.com/photos/275129245/medium.jpg,,,,,,,0,,,,,
47605,47124,Asterales,"Sunflowers, Bellflowers, Fanflowers, and Allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/355753987/medium.jpg,,,,,,,0,,,,,
47621,47622,Lycopodiaceae,"Clubmosses and Firmosses",family,https://inaturalist-open-data.s3.amazonaws.com/photos/101326007/medium.jpg,,,,,,,0,,,,,
47690,47124,Geraniales,"geraniums, bridal wreaths, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/70283238/medium.jpg,,,,,,,0,,,,,
47729,47124,Sapindales,"Soapberries, Cashews, Mahoganies, and Allies",order,https://static.inaturalist.org/photos/58699945/medium.jpg,,,,,,,0,,,,,
47748,121943,Equisetales,"horsetails",order,https://inaturalist-open-data.s3.amazonaws.com/photos/20163/medium.jpg,,,,,,,0,,,,,
